FechaPublicacion,Fecha,CodigoDuracion,CodigoSerieHidrologica,RegionHidrologica,AportesHidricosEnergia,PromedioAcumuladoEnergia,MediaHistoricaEnergia,AportesHidricosEnergiaPSS95
2023-11-29,2017-01-01,P1D,ALICBOGO,,11980300.0,11980000.0,,
2023-11-29,2017-01-01,P1D,SOGASOGA,Centro,12549800.0,12550000.0,6240000.0,2380000.0
2023-11-29,2017-01-01,P1D,DESVMANS,Caldas,,,530000.0,220000.0
2023-11-29,2017-01-01,P1D,ALICBOGO,Centro,18579000.0,7700000.0,3490000.0,440000.0
2023-11-29,2017-01-01,P1D,ESMEBATA,Oriente,4625900.0,4630000.0,2590000.0,1320000.0
2023-11-29,2017-01-01,P1D,EMBAGUAV,Oriente,9416900.0,9420000.0,4230000.0,2090000.0
2023-11-29,2017-01-01,P1D,SLORNARE,Antioquia,5094000.0,5090000.0,5530000.0,2950000.0
2023-11-29,2017-01-01,P1D,BOCATENC,Antioquia,1191300.0,1190000.0,1420000.0,810000.0
2023-11-29,2017-01-01,P1D,URR1SINU,Caribe,2991100.0,2990000.0,1860000.0,840000.0
2023-11-29,2017-01-01,P1D,EMBAPRAD,Centro,430200.0,430000.0,540000.0,170000.0
2023-11-29,2017-01-01,P1D,CAL1CALM,Valle,625700.0,630000.0,500000.0,200000.0
2023-11-29,2017-01-01,P1D,FLR2CAUC,Valle,173200.0,170000.0,130000.0,50000.0
2023-11-29,2017-01-01,P1D,SALVCAUC,Valle,5145900.0,5150000.0,3880000.0,1750000.0
2023-11-29,2017-01-01,P1D,PLAYGUAT,Antioquia,7206000.0,7210000.0,4090000.0,2050000.0
2023-11-29,2017-01-01,P1D,DESVGUAR,Caldas,529300.0,530000.0,1530000.0,680000.0
2023-11-29,2017-01-01,P1D,DESVRBLA,Oriente,2943400.0,2940000.0,160000.0,
2023-11-29,2017-01-01,P1D,ALTOANCH,Valle,4455600.0,4460000.0,4550000.0,2390000.0
2023-11-29,2017-01-01,P1D,TRONGUAD,Antioquia,5538100.0,5540000.0,3820000.0,2570000.0
2023-11-29,2017-01-01,P1D,PP-2PORC,Antioquia,9123100.0,9210000.0,7330000.0,4840000.0
2023-11-29,2017-01-01,P1D,PENONARE,Antioquia,17337000.0,17340000.0,12960000.0,7760000.0
2023-11-29,2017-01-01,P1D,EMBACHUZ,Oriente,,,1090000.0,300000.0
2023-11-29,2017-01-01,P1D,MIRFTENC,Antioquia,415500.0,420000.0,740000.0,470000.0
2023-11-29,2017-01-01,P1D,PTEHMIEL,Caldas,4796700.0,4800000.0,4150000.0,2240000.0
2023-11-29,2017-01-01,P1D,PUNCGUAT,Antioquia,2668600.0,2670000.0,2340000.0,1120000.0
2023-11-29,2017-01-01,P1D,PP-3PORC,Antioquia,1566100.0,1570000.0,1520000.0,390000.0
2023-11-29,2017-01-01,P1D,DESVIEPM,Antioquia,2531800.0,2530000.0,2210000.0,1260000.0
2023-11-29,2017-01-01,P1D,BETAMAG1,Centro,4826500.0,4830000.0,2010000.0,720000.0
2023-11-29,2017-01-01,P1D,BAJOANCH,Valle,35900.0,40000.0,340000.0,150000.0
2023-11-29,2017-01-01,P1D,AMOYAMOY,Centro,1194100.0,1190000.0,1570000.0,790000.0
2023-11-29,2017-01-01,P1D,QUIMMAGD,Centro,10221700.0,10220000.0,5840000.0,3300000.0
2023-11-29,2017-01-01,P1D,RGR2RGRD,Antioquia,6455500.0,6240000.0,7350000.0,4260000.0
2023-11-29,2017-02-01,P1D,EMBACHUZ,Oriente,2126100.0,2130000.0,1370000.0,330000.0
2023-11-29,2017-02-01,P1D,QUIMMAGD,Centro,9376900.0,9380000.0,6310000.0,3340000.0
2023-11-29,2017-02-01,P1D,PLAYGUAT,Antioquia,5409400.0,5410000.0,3580000.0,1660000.0
2023-11-29,2017-02-01,P1D,EMBAGUAV,Oriente,7800000.0,7800000.0,4640000.0,1990000.0
2023-11-29,2017-02-01,P1D,PENONARE,Antioquia,18801100.0,18800000.0,11650000.0,6730000.0
2023-11-29,2017-02-01,P1D,FLR2CAUC,Valle,220000.0,220000.0,150000.0,70000.0
