FuentesHidricas,CodigoSerieHidrologica,Latitud,Longitud
A. SAN LORENZO,RGR2RGRD,6.370926355840592,-75.05212357670881
CH CARLOS LLERAS,PLAYGUAT,6.21083333,-74.84055556
CONCEPCION,DESVIEPM,6.392740832433718,-75.26110791021611
DESV. EEPPM,BOCATENC,6.595353,-75.593121
ESCUELA DE MINAS,PENONARE,6.233404734142546,-75.26650616992198
GRANDE,ESCMNEGR,6.560278,-75.219722
GUADALUPE,CLLRPORC,6.838400969574809,-75.19446851203661
GUATAPE,SLORNARE,6.282321859369396,-75.09485692876761
ITUANGO,ITUACAUC,7.13444444,-75.66194444
NARE CP,TRONGUAD,6.397193469830129,-75.1005635786846
PORCE III,PP-3PORC,6.938946483051799,-75.13865391540983
PORCE II,PP-2PORC,6.938946483051799,-75.13865391540983
PORCE2 CP,PP-2POR1,6.806186374587491,-75.14912028465861
QUEBRADONA,MIRFTENC,6.517412765537054,-75.50012874602415
SAN CARLOS,PUNCGUAT,6.211019652573517,-74.84057745767069
SAN MIGUEL,SMIGCALD,5.968877820419064,-75.0511152472811
TENCHE,QUBRRGRD,7.33614923652283,-74.97761376383635
SINU URRA,URR1SINU,7.94,-76.29
BOGOTA N.R,ALICBOGO,4.58246,-74.21194
SOGAMOSO,SOGASOGA,7.10360,-73.4099
EL QUIMBO,QUIMMAGD,2.46018,-75.56577 
CUCUANA,CUCUCUCU,4.01801,-75.52064
AMOYA,AMOYAMOY,3.65920,-75.41098
DESV. SAN MARCOS,DESVSMAR,4.22376,-73.82204
BETANIA CP,BETAMAG1,2.70836,-75.42980
PRADO,EMBAPRAD,3.75486,-74.88189
DESV. CHIVOR,DESVCHIV,4.882306971463136,-73.2319512846579
RIO BATATAS,DESVBATA,4.705355591414631,-73.47415132496482
RIO CHUZA,EMBACHUZ,4.56885,-73.70523
RIO BLANCO,DESVRBLA,5.930142192651479, -73.93361321320849
RIO GUAVIO,GUAVGUAV,4.7309337278734995,-73.2191213144167
BATA,ESMEBATA,4.705355591414631,-73.47415132496482
RIO GUAVIO,EMBAGUAV,4.7309337278734995,-73.2191213144167
ALTOANCHICAYA,ALTOANCH,3.535259752012578,-76.86730040748918
CALIMA,CAL1CALM,3.895171593382221,-76.49495609515475
CAUCA,SALVCAUC,5.807506669489299,-75.65433382311747
SALVAJINADIGUA,BAJOANCH,2.896503575722749,-76.69002200540169
FLORIDA II,FLR2CAUC,3.320120217211441,-76.23312485276197
CAMPOALEGRE,CAMECAMP,5.115482810457135,-75.7172899574862
CHINCHINA,CAMECHIN,5.139938016650606,-75.67868649569627
DESV. GUARINO,DESVGUAR,5.306815515409587,-74.7827151339892
DESV. MANSO,DESVMANS,5.663044463875699,-74.8691609806785
ESTRELLA,ESTRELLA,5.461139599835913,-75.83225255041478
MIEL I,PTEHMIEL,5.77762956667122,-74.6901215601584
SAN EUGENIO,ESMECAMP,4.939711197452206,-75.64447558471004
SAN FRANCISCO,SANFRANC,4.948199125402669,-75.71784651430413
